# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 64800
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 64800
DATA ascii
8.9744837e-11 0 0.050000001
8.9731167e-11 1.5662634e-12 0.050000001
8.9690165e-11 3.1320495e-12 0.050000001
8.9621845e-11 4.6968818e-12 0.050000001
8.952622e-11 6.2602835e-12 0.050000001
8.9403332e-11 7.8217779e-12 0.050000001
8.9253202e-11 9.3808902e-12 0.050000001
8.9075892e-11 1.0937144e-11 0.050000001
8.8871445e-11 1.2490067e-11 0.050000001
8.8639929e-11 1.4039186e-11 0.050000001
8.8381413e-11 1.5584027e-11 0.050000001
8.8095968e-11 1.7124122e-11 0.050000001
8.7783697e-11 1.8659001e-11 0.050000001
8.7444683e-11 2.0188195e-11 0.050000001
8.7079031e-11 2.171124e-11 0.050000001
8.6686852e-11 2.3227673e-11 0.050000001
8.6268277e-11 2.473703e-11 0.050000001
8.5823411e-11 2.6238851e-11 0.050000001
8.5352413e-11 2.7732679e-11 0.050000001
8.4855407e-11 2.9218062e-11 0.050000001
8.4332562e-11 3.0694541e-11 0.050000001
8.3784021e-11 3.2161673e-11 0.050000001
8.3209967e-11 3.3619007e-11 0.050000001
8.2610557e-11 3.5066103e-11 0.050000001
8.1985987e-11 3.6502513e-11 0.050000001
8.1336445e-11 3.7927807e-11 0.050000001
8.0662123e-11 3.9341547e-11 0.050000001
7.9963237e-11 4.0743305e-11 0.050000001
7.923999e-11 4.2132648e-11 0.050000001
7.8492601e-11 4.3509162e-11 0.050000001
7.7721309e-11 4.4872418e-11 0.050000001
7.692634e-11 4.6222009e-11 0.050000001
7.6107939e-11 4.7557517e-11 0.050000001
7.5266356e-11 4.887854e-11 0.050000001
7.4401839e-11 5.0184676e-11 0.050000001
7.3514667e-11 5.1475522e-11 0.050000001
7.2605096e-11 5.2750693e-11 0.050000001
7.167341e-11 5.400979e-11 0.050000001
7.0719895e-11 5.5252438e-11 0.050000001
6.9744835e-11 5.6478256e-11 0.050000001
6.8748535e-11 5.7686869e-11 0.050000001
6.7731286e-11 5.8877909e-11 0.050000001
6.6693408e-11 6.005102e-11 0.050000001
6.5635219e-11 6.1205832e-11 0.050000001
6.4557033e-11 6.2342e-11 0.050000001
6.3459182e-11 6.3459182e-11 0.050000001
6.2342e-11 6.4557033e-11 0.050000001
6.1205832e-11 6.5635219e-11 0.050000001
6.005102e-11 6.6693408e-11 0.050000001
5.8877909e-11 6.7731286e-11 0.050000001
5.7686869e-11 6.8748535e-11 0.050000001
5.6478256e-11 6.9744835e-11 0.050000001
5.5252438e-11 7.0719895e-11 0.050000001
5.400979e-11 7.167341e-11 0.050000001
5.2750693e-11 7.2605096e-11 0.050000001
5.1475525e-11 7.3514667e-11 0.050000001
5.0184676e-11 7.4401839e-11 0.050000001
4.887854e-11 7.5266356e-11 0.050000001
4.7557517e-11 7.6107939e-11 0.050000001
4.6222009e-11 7.692634e-11 0.050000001
4.4872418e-11 7.7721309e-11 0.050000001
4.3509162e-11 7.8492601e-11 0.050000001
4.2132648e-11 7.923999e-11 0.050000001
4.0743305e-11 7.9963237e-11 0.050000001
3.9341547e-11 8.0662123e-11 0.050000001
3.7927807e-11 8.1336445e-11 0.050000001
3.6502513e-11 8.1985987e-11 0.050000001
3.5066103e-11 8.2610557e-11 0.050000001
3.3619007e-11 8.3209967e-11 0.050000001
3.2161673e-11 8.3784021e-11 0.050000001
3.0694541e-11 8.4332562e-11 0.050000001
2.9218062e-11 8.4855407e-11 0.050000001
2.7732679e-11 8.5352413e-11 0.050000001
2.6238851e-11 8.5823411e-11 0.050000001
2.473703e-11 8.626827e-11 0.050000001
2.3227673e-11 8.6686852e-11 0.050000001
2.171124e-11 8.7079031e-11 0.050000001
2.0188197e-11 8.7444683e-11 0.050000001
1.8659001e-11 8.7783697e-11 0.050000001
1.7124122e-11 8.8095968e-11 0.050000001
1.5584027e-11 8.8381413e-11 0.050000001
1.4039186e-11 8.8639929e-11 0.050000001
1.2490067e-11 8.8871445e-11 0.050000001
1.0937144e-11 8.9075892e-11 0.050000001
9.3808902e-12 8.9253202e-11 0.050000001
7.8217779e-12 8.9403332e-11 0.050000001
6.2602835e-12 8.952622e-11 0.050000001
4.6968822e-12 8.9621845e-11 0.050000001
3.1320497e-12 8.9690165e-11 0.050000001
1.5662635e-12 8.9731167e-11 0.050000001
1.6108271e-19 8.9744837e-11 0.050000001
-1.5662632e-12 8.9731167e-11 0.050000001
-3.1320495e-12 8.9690165e-11 0.050000001
-4.6968818e-12 8.9621845e-11 0.050000001
-6.2602831e-12 8.952622e-11 0.050000001
-7.8217779e-12 8.9403332e-11 0.050000001
-9.3808893e-12 8.9253202e-11 0.050000001
-1.0937144e-11 8.9075892e-11 0.050000001
-1.2490067e-11 8.8871445e-11 0.050000001
-1.4039186e-11 8.8639929e-11 0.050000001
-1.5584027e-11 8.8381413e-11 0.050000001
-1.7124122e-11 8.8095968e-11 0.050000001
-1.8659e-11 8.7783697e-11 0.050000001
-2.0188195e-11 8.7444683e-11 0.050000001
-2.171124e-11 8.7079031e-11 0.050000001
-2.3227673e-11 8.6686852e-11 0.050000001
-2.473703e-11 8.6268277e-11 0.050000001
-2.6238851e-11 8.5823411e-11 0.050000001
-2.7732679e-11 8.5352413e-11 0.050000001
-2.9218062e-11 8.4855407e-11 0.050000001
-3.0694541e-11 8.4332562e-11 0.050000001
-3.2161673e-11 8.3784021e-11 0.050000001
-3.3619007e-11 8.3209967e-11 0.050000001
-3.5066103e-11 8.2610557e-11 0.050000001
-3.6502513e-11 8.1985987e-11 0.050000001
-3.7927807e-11 8.1336445e-11 0.050000001
-3.9341547e-11 8.0662123e-11 0.050000001
-4.0743305e-11 7.9963237e-11 0.050000001
-4.2132648e-11 7.923999e-11 0.050000001
-4.3509162e-11 7.8492601e-11 0.050000001
-4.4872418e-11 7.7721309e-11 0.050000001
-4.6222009e-11 7.692634e-11 0.050000001
-4.7557517e-11 7.6107939e-11 0.050000001
-4.887854e-11 7.5266356e-11 0.050000001
-5.0184676e-11 7.4401839e-11 0.050000001
-5.1475522e-11 7.3514667e-11 0.050000001
-5.2750693e-11 7.2605096e-11 0.050000001
-5.400979e-11 7.167341e-11 0.050000001
-5.5252438e-11 7.0719895e-11 0.050000001
-5.6478256e-11 6.9744835e-11 0.050000001
-5.7686869e-11 6.8748535e-11 0.050000001
-5.8877909e-11 6.7731286e-11 0.050000001
-6.005102e-11 6.6693408e-11 0.050000001
-6.1205832e-11 6.5635219e-11 0.050000001
-6.2342e-11 6.4557033e-11 0.050000001
-6.3459182e-11 6.3459182e-11 0.050000001
-6.4557033e-11 6.2342e-11 0.050000001
-6.5635219e-11 6.1205832e-11 0.050000001
-6.6693408e-11 6.005102e-11 0.050000001
-6.7731286e-11 5.8877909e-11 0.050000001
-6.8748535e-11 5.7686869e-11 0.050000001
-6.9744835e-11 5.6478256e-11 0.050000001
-7.0719895e-11 5.5252438e-11 0.050000001
-7.167341e-11 5.400979e-11 0.050000001
-7.2605096e-11 5.2750693e-11 0.050000001
-7.3514667e-11 5.1475525e-11 0.050000001
-7.4401839e-11 5.0184676e-11 0.050000001
-7.5266356e-11 4.887854e-11 0.050000001
-7.6107939e-11 4.7557517e-11 0.050000001
-7.692634e-11 4.6222009e-11 0.050000001
-7.7721309e-11 4.4872418e-11 0.050000001
-7.8492601e-11 4.3509162e-11 0.050000001
-7.923999e-11 4.2132648e-11 0.050000001
-7.9963237e-11 4.0743305e-11 0.050000001
-8.0662123e-11 3.9341547e-11 0.050000001
-8.1336445e-11 3.7927807e-11 0.050000001
-8.1985987e-11 3.6502513e-11 0.050000001
-8.2610557e-11 3.5066103e-11 0.050000001
-8.3209967e-11 3.3619007e-11 0.050000001
-8.3784021e-11 3.2161673e-11 0.050000001
-8.4332562e-11 3.0694541e-11 0.050000001
-8.4855407e-11 2.9218062e-11 0.050000001
-8.5352413e-11 2.7732681e-11 0.050000001
-8.5823411e-11 2.6238851e-11 0.050000001
-8.626827e-11 2.473703e-11 0.050000001
-8.6686852e-11 2.3227673e-11 0.050000001
-8.7079031e-11 2.171124e-11 0.050000001
-8.7444683e-11 2.0188197e-11 0.050000001
-8.7783697e-11 1.8659001e-11 0.050000001
-8.8095968e-11 1.7124122e-11 0.050000001
-8.8381413e-11 1.5584027e-11 0.050000001
-8.8639929e-11 1.4039186e-11 0.050000001
-8.8871445e-11 1.2490067e-11 0.050000001
-8.9075892e-11 1.0937144e-11 0.050000001
-8.9253202e-11 9.3808902e-12 0.050000001
-8.9403332e-11 7.8217779e-12 0.050000001
-8.952622e-11 6.2602835e-12 0.050000001
-8.9621845e-11 4.6968822e-12 0.050000001
-8.9690165e-11 3.13205e-12 0.050000001
-8.9731167e-11 1.5662637e-12 0.050000001
-8.9744837e-11 3.2216542e-19 0.050000001
-8.9731167e-11 -1.5662631e-12 0.050000001
-8.9690165e-11 -3.1320493e-12 0.050000001
-8.9621845e-11 -4.6968813e-12 0.050000001
